,N1,w1,l1,l2,h1,per,space1,space2,space3,space4,coil_width1,coil_width2,move_z1,move_z2,offset_z1,offset_z2,V,B,Lmt,Llt,w,l,h,total_loss,copperloss_tx,copperloss_rx,copperloss,coreloss
93,8.0,40.0,23.0,99.0,103.0,3500.0,25.0,25.0,10.0,10.0,5.0,5.0,1.0,1.2000000000000002,0.0,-16.0,2618.6750000000006,0.37337988076644313,561.1029276530911,31.746298297345163,95.0,185.00000000000003,149.00000000000003,104.59542790873334,27.593414115291537,22.437143049834933,50.03055716512647,54.56487074360688
87,8.0,40.0,23.0,97.0,103.0,3500.0,25.0,25.0,10.0,10.0,5.0,4.7,1.0,1.2000000000000002,0.0,-17.0,2588.2417500000006,0.37337988076644313,561.0859410971779,31.837345792453974,95.0,182.85000000000002,149.00000000000003,105.72033686717701,27.514723824442687,23.640742299127442,51.15546612357013,54.56487074360688
56,8.0,40.0,23.0,106.0,103.0,3500.0,25.0,25.0,12.0,11.0,5.0,5.7,1.0,1.0,0.0,16.0,2736.86925,0.3733798807664431,527.7316983082667,31.74646412637684,95.0,193.35,149.00000000000003,98.60646097246419,27.399992768976393,16.641597459880966,44.04159022885736,54.564870743606825
5,8.0,40.0,23.0,107.0,103.0,3500.0,25.0,25.0,17.0,11.0,5.0,5.7,1.0,1.0,0.0,16.0,2751.0242500000004,0.3733798807664431,529.1622994892957,31.743949837384,95.0,194.35,149.00000000000003,98.75255574068211,27.316714733062295,16.87097026401299,44.18768499707528,54.564870743606825
14,8.0,40.0,23.0,104.0,103.0,3500.0,25.0,25.0,12.0,11.0,5.0,5.4,1.0,1.0,0.0,-10.0,2706.436000000001,0.373379880766443,521.3267865142598,31.74862759070914,95.0,191.20000000000005,149.00000000000003,101.69968682776442,27.500187304421395,19.63462877973618,47.13481608415758,54.564870743606846
78,8.0,40.0,23.0,100.0,103.0,3500.0,25.0,25.0,10.0,10.0,5.0,4.7,1.0,1.0,0.0,20.0,2630.7067500000003,0.3733798807664431,554.9512787218771,31.9288871161997,95.0,185.85000000000002,149.00000000000003,105.05424994217488,27.202854981863517,23.286524216704503,50.48937919856802,54.564870743606846
62,8.0,40.0,23.0,104.0,103.0,3500.0,25.0,25.0,12.0,11.0,5.0,5.7,1.0,1.0,0.0,-10.0,2708.5592500000002,0.373379880766443,521.3267865142598,31.74862759070914,95.0,191.35000000000002,149.00000000000003,98.72740317165005,27.50502284946847,16.657509578574732,44.16253242804321,54.564870743606846
92,8.0,40.0,23.0,98.0,103.0,3500.0,25.0,25.0,10.0,10.0,5.0,4.7,1.0,1.2000000000000002,0.0,-4.0,2602.3967500000003,0.3733798807664431,556.7522044867175,31.77887948402508,95.0,183.85000000000002,149.00000000000003,105.60339897710587,27.41843247938477,23.62009575411425,51.03852823349902,54.56487074360686
10,8.0,40.0,23.0,100.0,103.0,3500.0,25.0,25.0,11.0,11.0,5.0,5.2,1.0,1.0,0.0,19.0,2648.4005000000006,0.3733798807664431,550.6647749580987,31.79173048842789,95.0,187.10000000000002,149.00000000000003,103.2422909626663,27.40672256015836,21.270697658901096,48.67742021905946,54.564870743606846
53,8.0,46.0,19.0,100.0,103.0,3500.0,25.0,25.0,10.0,10.0,5.0,4.7,1.0,1.0,0.0,-8.0,2532.761850000001,0.39303145343836116,518.9403792169985,31.783692243120598,101.0,177.85,141.0,106.62663950008007,28.90736754656309,24.086467460488365,52.99383500705146,53.63280449302862
